unicode
㑯
㑳
㒓
㓨
㗲
㘚
㜄
㜏
㜢
㜷
㞞
㠏
㢝
㥮
㦎
㩜
㩳
㷿
㺏
㿧
䀹
䁪
䁻
䉙
䉬
䉲
䊭
䊷
䋙
䋚
䋻
䋿
䌈
䌋
䌖
䌝
䌟
䌥
䌰
䕳
䗿
䙡
䜀
䝻
䝼
䞈
䢨
䥇
䥩
䥱
䦘
䦛
䦟
䦳
䧢
䪏
䪗
䪘
䫴
䬘
䬝
䬞
䭀
䭃
䭿
䮝
䮞
䮠
䮫
䮳
䮾
䯀
䰾
䱙
䱬
䱰
䱷
䱽
䲁
䲖
䲰
䴉
䴬
䴴
丟
並
乾
亂
亞
佇
余
併
來
侖
侶
俁
係
俔
俠
俥
倀
倆
倈
倉
個
們
倫
倲
偉
偑
側
偵
偽
傑
傖
傘
備
傭
傯
傳
傴
債
傷
傾
僂
僅
僉
僑
僕
僞
僥
僨
價
儀
儂
億
儈
儉
儐
儔
儕
儘
償
儣
優
儲
儷
儸
儺
儻
儼
兌
兒
兗
內
兩
冊
冪
凈
凍
凙
凜
凱
別
刪
剄
則
剋
剎
剗
剛
剝
剮
剴
創
剾
劃
劇
劉
劊
劌
劍
劏
劑
劚
勁
動
務
勛
勝
勞
勢
勩
勱
勵
勸
勻
匭
匯
匱
區
協
卻
厙
厭
厲
厴
參
叄
叢
台
后
吒
吳
吶
呂
咼
員
哯
唄
唚
問
啞
啟
啢
喎
喚
喪
喬
單
喲
嗆
嗇
嗊
嗎
嗚
嗩
嗶
嗹
嘆
嘍
嘓
嘔
嘖
嘗
嘜
嘩
嘮
嘯
嘰
嘵
嘸
嘽
噅
噓
噚
噝
噠
噥
噦
噯
噲
噴
噸
噹
嚀
嚇
嚌
嚕
嚙
嚦
嚨
嚲
嚳
嚴
嚶
囀
囁
囂
囅
囈
囉
囑
囪
圇
國
圍
園
圓
圖
團
圞
垵
埡
埰
執
堅
堊
堖
堝
堯
報
場
塊
塋
塏
塒
塗
塢
塤
塵
塹
墊
墜
墮
墳
墾
壇
壈
壋
壓
壘
